Name,SuperPowers,Alignment,Gender
Star Sapphire,Null,,
StarBoy,Null,,
Starfire,Null,,
Stargirl,"Agility,Endurance,Energy Blasts,Energy Manipulation,Intelligence,Peak Human Condition,Stamina,Acrobatics,Energy Beams,Energy Resistance,Flight,Jump,Reflexes,Master Martial Artist",,
Static,Null,,
Steel,"Intelligence,Super Speed,Super Strength,Energy Absorption,Flight,Force Fields,Indomitable Will,Invulnerability,Power Suit",,
Steppenwolf,Null,,
Sunny Jim,Null,,
Super Woman,"Absorption,Acid Resistants,Acrobatics,Agility,Apathy,Arcane Magic,Arcane Magic,Astral Travel,Cold Resistance,Corruption,Divine Powers,Divinity,Durability,Electricity Absorption,Electricity Resistance,Endurance,Energy Absorption,Energy Blasts,Energy Resistance,Enhanced Condition,Enhanced Hearing,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Touch,Extrasensory Perception,Fire Resistance,Flight,Godly Physiology,Heat Resistance,Illusion Resistance,Indestructible Digestion,Instinctive Reaction,Interstellar Travel,Invulnerability,Jaw Strength,Jump,Love Inducement,Magic,Magic Absorption,Magic Resistance,Pain Suppression,Peak Human Condition,Pseudo-Flight,Radiation Absorption,Radiation Immunity,Reflexes,Seismic Power,Self-Sustenance,Shockwaves Generation,Space Survivability,Spaceflight,Spatial Communication,Stamina,Super Breath,Super Speed,Super Strength,Toxin and Disease Resistance,Transformation,Vision - Microscopic,Vision - Night,Vision - Telescopic,Curse Resistance,Dark Magic,Dexterity,Energy Beams,Gliding,Hellfire Resistance,Indomitable Will,Levitation,Longevity,Mind Control Resistance,Possession Resistance,Pressure Points,Rage Power,Telepathy Resistance,Teleportation",Bad,Female
Supergirl,"Cold Resistance,Durability,Endurance,Enhanced Hearing,Enhanced Senses,Enhanced Sight,Fire Resistance,Flight,Heat Generation,Heat Resistance,Intelligence,Invulnerability,Levitation,Longevity,Stamina,Super Breath,Super Speed,Super Strength,Toxin and Disease Resistance,Vision - Heat,Vision - Microscopic,Vision - Telescopic,Vision - X-Ray,Accelerated Healing,Acid Resistants,Agility,Air Control,Bullet Time,Dexterity,Electricity Resistance,Empathy,Energy Absorption,Energy Beams,Energy Resistance,Immortality,Jump,Radiation Immunity,Reflexes,Regeneration,Spaceflight,Vision - Infrared,Vision - Night,Master Martial Artist",Good,Female
Superior Man,Null,,
Superman (Weakened),"Berserk Mode,Intelligence,Peak Human Condition,Agility,Bloodlust,Indomitable Will,Weapons Master,Jump",,
Superman,"Cold Resistance,Dexterity,Energy Absorption,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Touch,Flight,Heat Generation,Heat Resistance,Intelligence,Invulnerability,Levitation,Radiation Immunity,Stamina,Super Speed,Super Strength,Toxin and Disease Resistance,Vision - Heat,Vision - Infrared,Vision - Microscopic,Vision - Telescopic,Vision - X-Ray,Accelerated Healing,Acid Resistants,Agility,Air Control,Electricity Resistance,Endurance,Energy Beams,Energy Manipulation,Energy Resistance,Enhanced Smell,Fire Resistance,Immortality,Indomitable Will,Marksmanship,Master Martial Artist,Master Tactician,Pain Suppression,Power Mimicry,Reflexes,Regeneration,Self-Sustenance,Shockwaves Generation,Swordsmanship,Vision - Night,Weapons Master,Cryokinesis",Good,Male
Swamp Thing,Null,,
Talia Al Ghul,Null,Bad,Female
Tharok,Null,,
The Floronic Man,"Intelligence,Regeneration,Super Strength,Agility,Endurance,Plant Control,Reflexes,Shapeshifting,Invulnerability,Size Changing,Teleportation",,
The Phantasm,"Intelligence,Peak Human Condition,Stamina,Stealth,Acrobatics,Agility,Endurance,Indomitable Will,Master Martial Artist,Master Tactician,Weapon-based Powers,Weapons Master,Jump,Marksmanship",,
The Riddler,Null,,
The Talon,Null,Bad,Male
Titano,"Acrobatics,Animal Attributes,Animal Oriented Powers,Durability,Reflexes,Super Strength,Agility,Emotional Power Up,Empathy,Endurance,Enhanced Hearing,Enhanced Senses,Enhanced Sight,Enhanced Smell,Fear Inducement,Size Changing,Animal Control,Invulnerability",,
Toyman,"Intelligence,Mechanical Aptitude,Nanotechnology",,
Tsukuri,Null,Bad,Female
Tsukuri,Null,,
Ultra-Humanite,"Animal Attributes,Durability,Intelligence,Stamina,Super Strength,Endurance,Natural Weapons,Weapon-based Powers,Weapons Master,Animal Oriented Powers",,
Validus,Null,,
Vandal Savage,"Durability,Intelligence,Peak Human Condition,Stamina,Accelerated Healing,Agility,Dexterity,Endurance,Longevity,Marksmanship,Master Martial Artist,Master Tactician,Reflexes,Stealth,Swordsmanship,Weapons Master,Immortality,Regeneration,Resurrection",Bad,Male
Vibe,Null,,
Warlord,"Durability,Endurance,Master Tactician,Peak Human Condition,Stamina,Weapons Master,Master Martial Artist,Weapon-based Powers,Fire Control,Magic",,
Wildcat,"Endurance,Master Martial Artist,Stamina,Agility",,
Wind Dragon,Null,,
Wonder Woman (Life Equation),Nigh-Omnipotence,,
Wonder Woman,"Berserk Mode,Flight,Stamina,Swordsmanship,Accelerated Healing,Acrobatics,Adaptation,Agility,Cold Resistance,Dexterity,Endurance,Energy Resistance,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Fire Resistance,Heat Resistance,Immortality,Invulnerability,Jump,Levitation,Longevity,Marksmanship,Master Martial Artist,Master Tactician,Power Suit,Reflexes,Self-Sustenance,Stealth,Vibration Manipulation,Weapons Master",Good,Female
Zatanna,"Ability Shift,Air Control,Chaos Magic,Clairvoyance,Dark Magic,Dream Manipulation,Durability,Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Enhanced Condition,Explosion Manipulation,Flight,Force Fields,Heal,Heat Generation,Hypnokinesis,Illusions,Intelligence,Invisibility,Latent Abilities,Levitation,Light Control,Magic,Magic Resistance,Memory Manipulation,Peak Human Condition,Portal Creation,Radar Sense,Seismic Power,Sleep Manipulation,Stamina,Stealth,Telekinesis,Telepathy,Teleportation,Terrakinesis,Vaporising Beams,Absorption,Accelerated Development,Acrobatics,Agility,Apathy,Attack Negation,Chaos Energy,Chaos Manipulation,Creation,Dexterity,Dimensional Awareness,Endurance,Fire Resistance,Heat Resistance,Jump,Longevity,Marksmanship,Master Martial Artist,Reality Warping,Reflexes,Resurrection,Spatial Awareness",Good,Female
Aatrox (True Form),Null,Bad,Male
Aatrox (Sealed),Null,Bad,Male
Ahri,"Fire Control,Magic,Accelerated Healing,Animal Attributes,Berserk Mode,Dexterity,Energy Blasts,Energy Manipulation,Enhanced Senses,Extrasensory Perception,Fire Resistance,Heat Resistance,Homing Attack,Illusions,Jump,Levitation,Longevity,Magic Resistance,Memory Manipulation,Mind Control,Natural Weapons,Possession Resistance,Power Sense,Soul Manipulation,Statistics Amplification,Status Effect Inducement,Stealth,Summoning,Vitakinesis,Disguise Mastery,Durability Negation,Empathy,Endurance,Enhanced Hearing,Love Inducement,Master Tactician,Non-Physical Interaction,Perception Manipulation,Reflexes,Sense Manipulation,Telekinesis,Telepathy,Toxin and Disease Control,Toxin and Disease Resistance",Good,Female
Akali,"Acrobatics,Agility,Dexterity,Disguise Mastery,Gadget Usage,Master Martial Artist,Pressure Points,Stealth,Weapon-based Powers,Enhanced Thievery,Grappling/Climbing,Jump,Marksmanship,Reflexes,Smoke Manipulation,Status Effect Inducement,Weapons Master,Camouflage,Damage Boost,Endurance,Indomitable Will,Master Tactician,Statistics Amplification,Water Control",Neutral,Female
Alistar,"Bloodlust,Durability,Stamina,Super Strength,Animal Attributes,Animal Oriented Powers,Damage Reduction,Endurance,Enhanced Senses,Instinctive Reaction,Invulnerability,Natural Armor,Natural Weapons,Pain Suppression,Rage Power,Vitakinesis,Accelerated Healing,Indomitable Will,Large Size,Seismic Power,Shockwaves Generation,Statistics Amplification",Good,Male
Amumu,"Longevity,Cloth Manipulation,Death Touch,Decay Embodiment,Durability Negation,Energy Manipulation,Immortality,Magic,Zombie Physiology",Good,Male
Anivia,Null,Good,Female
Annie,"Fire Control,Heat Resistance,Summoning,Animation,Cold Resistance,Danmaku,Energy Armor,Fire Resistance,Heat Generation,Homing Attack,Magic,Magic Resistance,Bloodlust,Rage Power",Neutral,Female
Ashe,"Cold Resistance,Cryokinesis,Dexterity,Indomitable Will,Marksmanship,Reflexes,Weapon-based Powers,Agility,Damage Boost,Information Analysis,Magic,Master Tactician,Preparation,Clairvoyance,Danger Sense,Endurance,Enhanced Senses,Gadget Usage,Pain Suppression,Status Effect Inducement,Weapons Master",Good,Female
Aurelion Sol,"Arcane Magic,Aura,Black Hole Manipulation,Cold Resistance,Corruption Resistance,Creation,Divine Powers,Divinity,Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Enhanced Senses,Explosion Manipulation,Extrasensory Perception,Fire Control,Fire Resistance,Flight,Godly Physiology,Gravity Control,Illumination,Interstellar Travel,Jump,Large Size,Longevity,Magic,Magic Absorption,Magic Resistance,Mind Control Resistance,Non-Corporeal,Non-Physical Interaction,Portal Creation,Power Augmentation,Power Bestowal,Reality Warping,Self-Sustenance,Size Changing,Spaceflight,Spatial Awareness,Spatial Manipulation,Super Breath,Super Speed,Super Strength,Telekinesis,Toxin and Disease Resistance,Air Control,Animal Attributes,Dimensional Awareness,Endurance,Energy Resistance,Enhanced Hearing,Enhanced Sight,Enhanced Smell,Heat Generation,Heat Resistance,Higher Dimensional Manipulation,Immortality,Invulnerability,Jaw Strength,Natural Weapons,Organic Manipulation,Phasing,Plasma Manipulation,Power Sense,Reality Warping Resistance,Sealing,Soul Resistance,Transmutation,Animal Oriented Powers,Clairvoyance,Cosmic Awareness,Danger Sense,Inorganic Physiology,Life Manipulation,Master Tactician,Natural Armor,Shapeshifting,Statistics Reduction,Status Effect Inducement,Summoning",Neutral,Male
Azir,Null,Bad,Male
Bard,"Agility,Enhanced Senses,Extrasensory Perception,Flight,Immortality,Levitation,Longevity,Magic,Magic Resistance,Non-Corporeal,Portal Creation,Sealing,Self-Sustenance,Sound Manipulation,Spaceflight,Toxin and Disease Resistance,Banish,Cold Resistance,Cosmic Awareness,Danger Sense,Density Control,Endurance,Energy Blasts,Energy Embodiment,Energy Manipulation,Energy Resistance,Gadget Usage,Heat Resistance,Illumination,Indomitable Will,Light Control,Mind Transfer,Non-Physical Interaction,Omnilingualism,Paralysis,Power Sense,Precognition,Preparation,Purification,Reflexes,Soul Resistance,Summoning,Telepathy,Telepathy Resistance,Time Manipulation,Timeframe Control,Vitakinesis,Weapon-based Powers,Animation,Avatar Creation,Clairvoyance,Damage Boost,Dimensional Travel,Hope Inducement,Perception Manipulation,Pocket Dimensions,Reality Warping,Sense Manipulation,Soul Manipulation,Statistics Amplification,Statistics Reduction,Teleportation,Weather Control",Good,Male
Brand,"Apathy,Cold Resistance,Endurance,Extrasensory Perception,Fire Control,Fire Resistance,Heat Resistance,Homing Attack,Inorganic Physiology,Longevity,Magic,Magic Absorption,Magma Manipulation,Soul Resistance,Explosion Manipulation,Flight,Heat Generation,Lava Manipulation,Magic Resistance,Non-Physical Interaction,Rage Power,Status Effect Inducement,Damage Boost,Dexterity,Insanity,Marksmanship,Melting,Smoke Manipulation,Statistics Amplification",Bad,Male
Braum,"Attack Negation,Cold Resistance,Damage Reduction,Endurance,Enhanced Condition,Indomitable Will,Invulnerability,Jump,Reflexes,Weapon-based Powers,Cryokinesis,Grappling/Climbing,Weapons Master,Agility,Animal Control,Animal Oriented Powers,Compassion Inducement,Dexterity,Dig,Extrasensory Perception,Force Fields,Gadget Usage,Heat Generation,Hope Inducement,Large Size,Longevity,Magic,Master Martial Artist,Statistics Amplification,Toxin and Disease Resistance",Good,Male
Caitlyn,"Dexterity,Information Analysis,Marksmanship,Photographic Deduction,Preparation,Weapon-based Powers,Agility,Gadget Usage,Indomitable Will,Master Tactician,Reflexes,Vision - Telescopic,Damage Boost,Status Effect Inducement,Weapons Master",Good,Female
Cassiopeia,"Petrification,Social Influencing,Toxin and Disease Control,Toxin and Disease Resistance,Venomous Bite,Acid Manipulation,Acidic Spit,Animal Attributes,Enhanced Smell,Magic,Acid Resistants,Agility,Animal Oriented Powers,Damage Boost,Enhanced Senses,Jaw Strength,Large Size,Statistics Amplification,Status Effect Inducement,Vitakinesis",Bad,Female
Cho'Gath,"Accelerated Healing,Animal Attributes,Bloodlust,Durability Negation,Endurance,Indestructible Digestion,Jaw Strength,Large Size,Multiple Limbs,Natural Armor,Natural Weapons,Physical Anomaly,Size Changing,Sonic Scream,Adaptation,Biokinesis,Cold Resistance,Corruption,Density Control,Extrasensory Perception,Heat Resistance,Illusion Resistance,Magic,Matter Absorption,Reactive Evolution,Self-Sustenance,Toxin and Disease Resistance,Unholy Resistance,Corruption Resistance,Damage Boost,Elasticity,Invulnerability,Magic Resistance,Mind Control Resistance,Physics Manipulation,Possession Resistance,Power Nullifier,Regeneration,Soul Resistance,Statistics Reduction,Time Manipulation Resistance,Unholy Manipulation",Bad,Male
Commander Ledros,"Cold Resistance,Endurance,Indomitable Will,Non-Physical Interaction,Self-Sustenance,Swordsmanship,Toxin and Disease Resistance,Dexterity,Extrasensory Perception,Heat Resistance,Immortality,Master Tactician,Non-Corporeal,Preparation,Reflexes,Soul Resistance,Weapon Summoning,Weapon-based Powers,Weapons Master,Dark Magic,Large Size,Magic Resistance,Teleportation",Neutral,Male
Corki,"Agility,Flight,Gadget Usage,Longevity,Power Suit,Vehicular Mastery,Weapon-based Powers,Dexterity,Endurance,Enhanced Hearing,Explosion Manipulation,Fire Control,Indomitable Will,Insanity,Marksmanship,Mechanical Aptitude,Vision - Infrared,Acrobatics,Berserk Mode,Cold Resistance,Danmaku,Enhanced Sight,Heat Generation,Illumination,Immortality,Large Size,Levitation,Magic,Magic Resistance,Master Tactician,Preparation,Radar Sense,Self-Destruction,Statistics Amplification,Statistics Reduction,Weapons Master",Good,Male
Darius,"Bloodlust,Endurance,Indomitable Will,Rage Power,Cold Resistance,Grappling/Climbing,Accelerated Healing,Damage Boost,Danger Sense,Fear Inducement,Hunters Instinct,Master Tactician,Statistics Amplification,Status Effect Inducement,Weapon-based Powers",Neutral,Male
Draven,"Dexterity,Social Influencing,Bloodlust,Damage Boost,Indomitable Will,Marksmanship,Statistics Amplification,Endurance,Status Effect Inducement,Weapon-based Powers,Weapons Master",Bad,Male
Ekko,"Afterimage Creation,Dexterity,Gadget Usage,Mechanical Aptitude,Reflexes,Time Manipulation,Accelerated Healing,Bullet Time,Explosion Manipulation,Indomitable Will,Information Analysis,Status Effect Inducement,Weapon-based Powers,Damage Boost,Duplication,Endurance,Jump,Robotic Engineering,Timeframe Control,Vehicular Mastery",Good,Male
Elise,"Shapeshifting,Social Influencing,Toxin and Disease Control,Toxin and Disease Resistance,Web Creation,Accelerated Healing,Animal Attributes,Animal Control,Animal Oriented Powers,Endurance,Enhanced Senses,Immortality,Jaw Strength,Large Size,Summoning,Surface Scaling,Wallcrawling,Regeneration",Bad,Female
Evelynn,"Apathy,Camouflage,Dark Magic,Disguise Mastery,Extrasensory Perception,Hypnokinesis,Invisibility,Longevity,Love Inducement,Non-Corporeal,Pain Manipulation,Shadow Manipulation,Shapeshifting,Social Influencing,Stealth,Umbrakinesis,Accelerated Healing,Biokinesis,Bloodlust,Creation,Demon Physiology,Dexterity,Homing Attack,Immortality,Intangibility,Magic Resistance,Mind Control,Non-Physical Interaction,Self-Sustenance,Teleportation,Absorption,Acrobatics,Agility,Aura,Cloaking,Damage Boost,Elasticity,Enhanced Senses,Enhanced Sight,Jump,Levitation,Multiple Limbs,Natural Weapons,Regeneration,Statistics Amplification,Statistics Reduction,Status Effect Inducement,Transformation",Bad,Female
Ezreal,"Energy Blasts,Gadget Usage,Information Analysis,Intuitive aptitude,Mechanical Aptitude,Energy Beams,Magic,Marksmanship,Weapon-based Powers,Endurance,Energy Manipulation,Homing Attack,Statistics Amplification,Teleportation",Neutral,Male
Fiora,"Agility,Dexterity,Indomitable Will,Reflexes,Swordsmanship,Disarmament,Information Analysis,Weapon-based Powers,Attack Reflection,Damage Boost,Endurance,Master Martial Artist,Weapons Master",Neutral,Female
Fizz,"Acrobatics,Agility,Amphibious Respiration,Longevity,Water Control,Animal Control,Cold Resistance,Endurance,Enhanced Hearing,Enhanced Smell,Enhanced Thievery,Jump,Magic,Portal Creation,Vision - Infrared,Weapon-based Powers,Damage Boost,Damage Reduction,Immortality,Magic Resistance,Non-Corporeal,Non-Physical Interaction,Status Effect Inducement,Summoning",Neutral,Male
Galio,"Cold Resistance,Damage Reduction,Endurance,Fire Resistance,Heat Resistance,Inorganic Physiology,Invulnerability,Large Size,Magic Absorption,Magic Resistance,Self-Sustenance,Shockwaves Generation,Toxin and Disease Resistance,Acid Resistants,Animal Attributes,Corruption Resistance,Curse Resistance,Electricity Resistance,Energy Resistance,Enhanced Senses,Extrasensory Perception,Flight,Gliding,Hope Inducement,Indomitable Will,Jump,Magic,Power Nullifier,Power Sense,Reactive Power Level,Reflexes,Seismic Power,Vortex Creation,Wind Control,Absorption,Agility,Damage Boost,Energy Absorption,Energy Blasts,Immortality,Statistics Amplification,Status Effect Inducement",Good,Male
Gangplank,"Bloodlust,Endurance,Explosion Manipulation,Gadget Usage,Indomitable Will,Weapon-based Powers,Accelerated Healing,Danmaku,Dexterity,Disguise Mastery,Information Analysis,Marksmanship,Master Tactician,Mechanical Aptitude,Preparation,Reflexes,Soul Resistance,Swordsmanship,Toxin and Disease Resistance,Agility,Cyborgization,Danger Sense,Fire Control,Luck,Possession Resistance,Statistics Amplification,Status Effect Inducement,Vehicular Mastery,Weapons Master",Bad,Male
Garen,"Endurance,Weapon-based Powers,Durability Negation,Indomitable Will,Magic Resistance,Swordsmanship,Weapons Master,Accelerated Healing,Damage Boost,Damage Reduction,Holy Manipulation,Invulnerability,Master Tactician,Power Nullifier",Neutral,Male
Gnar,"Animal Attributes,Longevity,Rage Power,Cold Resistance,Enhanced Hearing,Enhanced Senses,Enhanced Smell,Grappling/Climbing,Hunters Instinct,Jump,Natural Weapons,Size Changing,Transformation,Vision - Infrared,Agility,Damage Boost,Damage Reduction,Endurance,Immortality,Invulnerability,Magic,Magic Resistance,Marksmanship,Multiple Personalities,Natural Armor,Reflexes,Weapon-based Powers",Neutral,Male
Gragas,Null,Neutral,Male
Graves,"Explosion Manipulation,Indomitable Will,Weapon-based Powers,Agility,Gadget Usage,Marksmanship,Reflexes,Smoke Manipulation,Damage Reduction,Danmaku,Endurance,Weapons Master",Neutral,Male
Gwen,"Purification,Weapon-based Powers,Accelerated Healing,Damage Reduction,Gadget Usage,Magic,Marksmanship,Portal Creation,Reflexes,Soul Resistance,Damage Boost,Flight,Holy Manipulation,Intangibility,Invisibility,Jump,Power Bestowal,Self-Sustenance,Size Changing,Soul Manipulation,Statistics Reduction,Telekinesis,Transformation,Weapon Summoning",Good,Female
Hecarim,"Bloodlust,Endurance,Fear Inducement,Fear Manipulation,Supernatural Condition,Weapons Master,Accelerated Healing,Agility,Animal Attributes,Aura,Cold Resistance,Dark Magic,Dexterity,Extrasensory Perception,Heat Resistance,Magic Resistance,Master Tactician,Non-Corporeal,Non-Physical Interaction,Reflexes,Self-Sustenance,Soul Manipulation,Soul Resistance,Summoning,Weapon-based Powers,Energy Absorption,Immortality,Large Size,Preparation,Statistics Amplification,Status Effect Inducement,Teleportation,Unholy Manipulation,Unholy Resistance",Bad,Male
Heimerdinger,Null,,
Illaoi,"Awakened Power,Divine Powers,Endurance,Indomitable Will,Magic,Soul Manipulation,Soul Resistance,Tentacles,Weapon-based Powers,Accelerated Healing,Durability Negation,Immortality Negation,Information Analysis,Jump,Non-Physical Interaction,Purification,Vitakinesis,Blessed,Extrasensory Perception,Large Size,Power Sense,Precognition,Water Control",Good,Female
Irelia,"Acrobatics,Agility,Dexterity,Pseudo-Flight,Weapon-based Powers,Weapons Master,Damage Reduction,Emotional Power Up,Master Martial Artist,Reflexes,Swordsmanship,Accelerated Healing,Magic,Statistics Amplification,Status Effect Inducement,Telekinesis,Willpower Inducement",Good,Female
Ivern,"Empathy,Enhanced Hearing,Force Fields,Inorganic Physiology,Longevity,Plant Control,Energy Constructs,Enhanced Senses,Magic,Summoning,Vitakinesis,Animal Control,Large Size,Life Manipulation,Natural Armor,Non-Physical Interaction,Soul Manipulation,Transmutation",Good,Male
Janna,"Agility,Endurance,Extrasensory Perception,Flight,Immortality,Intangibility,Levitation,Longevity,Magic,Magic Resistance,Non-Corporeal,Toxin and Disease Resistance,Vortex Creation,Weather Control,Wind Control,Animal Oriented Powers,Cold Resistance,Damage Reduction,Electricity Resistance,Electrokinesis,Force Fields,Godly Physiology,Heat Resistance,Hope Inducement,Non-Physical Interaction,Perception Manipulation,Purification,Shapeshifting,Soul Resistance,Statistics Amplification,Statistics Reduction,Telepathy,Vitakinesis,Attack Reflection,Cryokinesis,Damage Boost,Heat Generation,Pacemiakinesis",Good,Female
Jarvan IV,"Master Tactician,Reflexes,Social Influencing,Weapon-based Powers,Dexterity,Endurance,Grappling/Climbing,Indomitable Will,Jump,Magic Resistance,Power Suit,Seismic Power,Swordsmanship,Terrakinesis,Weapons Master,Damage Reduction,Elasticity,Master Martial Artist,Power Nullifier,Statistics Amplification,Statistics Reduction",Good,Male
Jax,"Durability,Endurance,Super Speed,Super Strength,Weapons Master,Corruption Resistance,Damage Boost,Damage Reduction,Existence Erasure Resistance,Fire Control,Immortality,Instinctive Reaction,Mind Control Resistance,Reality Warping Resistance,Soul Resistance,Weapon-based Powers",Good,Male
Jhin,"Apathy,Dexterity,Insanity,Marksmanship,Preparation,Weapon-based Powers,Disguise Mastery,Explosion Manipulation,Weapons Master,Master Martial Artist,Shapeshifting",Bad,Male
Jinx,"Dexterity,Endurance,Explosion Manipulation,Insanity,Marksmanship,Master Martial Artist,Reflexes,Stamina,Statistics Reduction,Stealth,Vehicular Mastery,Acrobatics,Cold Resistance,Electrokinesis,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Touch,Extrasensory Perception,Flight,Heat Resistance,Illusions,Jump,Master Tactician,Preparation,Statistics Amplification,Toxin and Disease Resistance,Weapons Master",Bad,Female
Kai'sa,"Energy Blasts,Energy Manipulation,Flight,Hunters Instinct,Invisibility,Magic,Absorption,Acrobatics,Corruption Resistance,Damage Boost,Danmaku,Endurance,Energy Armor,Enhanced Senses,Extrasensory Perception,Force Fields,Homing Attack,Indomitable Will,Mind Control Resistance,Natural Armor,Non-Physical Interaction,Plasma Manipulation,Regeneration,Statistics Amplification,Agility,Illumination,Jump,Magic Resistance,Marksmanship,Matter Absorption,Physics Manipulation,Power Suit,Reactive Evolution,Reactive Power Level,Reflexes,Self-Sustenance,Stealth,Transmutation,Weapon Creation",Good,Female
Kalista,"Acrobatics,Agility,Cold Resistance,Dark Magic,Dexterity,Durability Negation,Endurance,Hive-Mind,Indomitable Will,Reflexes,Soul Resistance,Toxin and Disease Resistance,Extrasensory Perception,Fear Inducement,Heat Resistance,Immortality,Jump,Magic Resistance,Marksmanship,Master Tactician,Non-Corporeal,Non-Physical Interaction,Pain Manipulation,Power Sense,Self-Sustenance,Soul Manipulation,Summoning,Teleportation,Umbrakinesis,Weapon Creation,Weapon-based Powers,Weapons Master,Illumination,Insanity,Invulnerability,Multiple Personalities,Phasing,Weapon Summoning",Neutral,Female
Karma,"Energy Armor,Energy Beams,Energy Blasts,Force Fields,Magic,Multiple Personalities,Aura,Fire Control,Levitation,Statistics Amplification,Vitakinesis,Awakened Power,Enhanced Memory,Telekinesis,Telepathy",Good,Female
Karthus,"Cold Resistance,Dark Magic,Durability Negation,Extrasensory Perception,Homing Attack,Non-Corporeal,Soul Manipulation,Soul Resistance,Toxin and Disease Resistance,Clairvoyance,Corruption,Corruption Resistance,Curse Manipulation,Damage Boost,Energy Blasts,Flight,Gadget Usage,Immortality,Indomitable Will,Levitation,Magic Resistance,Master Tactician,Non-Physical Interaction,Self-Sustenance,Statistics Reduction,Status Effect Inducement,Telekinesis,Umbrakinesis,Weapon-based Powers,Endurance,Energy Embodiment,Enhanced Senses,Sound Manipulation,Teleportation",Bad,Male
Kassadin,"Damage Boost,Dark Magic,Enhanced Condition,Extrasensory Perception,Gadget Usage,Indomitable Will,Magic Resistance,Mechanical Aptitude,Weapon-based Powers,Corruption Resistance,Dexterity,Endurance,Energy Absorption,Energy Blasts,Energy Manipulation,Force Fields,Grappling/Climbing,Magic,Magic Absorption,Mind Control Resistance,Portal Creation,Possession Resistance,Power Nullifier,Power Sense,Power Suit,Preparation,Reflexes,Shockwaves Generation,Soul Resistance,Statistics Reduction,Status Effect Inducement,Swordsmanship,Teleportation,Weapons Master,Agility,Corruption,Durability Negation,Energy Constructs,Enhanced Senses,Explosion Manipulation,Flight,Levitation,Master Tactician,Physics Manipulation,Self-Sustenance,Soul Manipulation,Stealth,Time Manipulation Resistance,Toxin and Disease Resistance",Good,Male
Katarina,"Acrobatics,Dexterity,Disguise Mastery,Pain Suppression,Preparation,Stealth,Enhanced Condition,Gadget Usage,Grappling/Climbing,Information Analysis,Master Tactician,Toxin and Disease Resistance,Weapons Master,Endurance,Extrasensory Perception,Jump,Marksmanship,Status Effect Inducement,Toxin and Disease Control,Weapon-based Powers",Neutral,Female
Kayle,"Endurance,Energy Armor,Fire Control,Flight,Invulnerability,Longevity,Magic,Portal Creation,Swordsmanship,Weapon Creation,Weapon Summoning,Accelerated Development,Agility,Angel Physiology,Apathy,Aura,Danmaku,Energy Constructs,Enhanced Senses,Explosion Manipulation,Force Fields,Holy Manipulation,Light Control,Magic Resistance,Vitakinesis,Cloth Manipulation,Damage Boost,Energy Beams,Homing Attack,Illumination,Immortality,Reactive Evolution,Regeneration,Statistics Amplification,Statistics Reduction,Status Effect Inducement",Bad,Female
Kayn,"Acrobatics,Agility,Apathy,Camouflage,Dexterity,Master Martial Artist,Shadow Manipulation,Weapons Master,Endurance,Intangibility,Mind Control Resistance,Possession Resistance,Reflexes,Swordsmanship,Cloning,Corruption Resistance,Magic,Multiple Personalities,Natural Armor,Possession,Pseudo-Flight",Bad,Male
Kennen,"Agility,Electrokinesis,Longevity,Weapons Master,Acrobatics,Awakened Power,Dexterity,Enhanced Hearing,Enhanced Senses,Enhanced Sight,Homing Attack,Magic,Marksmanship,Reflexes,Vision - Infrared,Camouflage,Damage Reduction,Danger Sense,Electricity Resistance,Flight,Gadget Usage,Immortality,Jump,Magic Resistance,Master Martial Artist,Master Tactician,Preparation,Statistics Amplification,Status Effect Inducement,Transformation,Weather Control",Good,Male
Kha'Zix,"Agility,Animal Attributes,Bloodlust,Endurance,Enhanced Senses,Hunters Instinct,Natural Armor,Natural Weapons,Reactive Evolution,Accelerated Development,Accelerated Healing,Camouflage,Cloaking,Corruption,Enhanced Hearing,Enhanced Sight,Enhanced Smell,Gliding,Grappling/Climbing,Information Analysis,Jaw Strength,Jump,Power Absorption,Stealth,Damage Boost,Danmaku,Electrokinesis,Explosion Manipulation,Extrasensory Perception,Flight,Physical Anomaly,Physics Manipulation,Preparation,Regeneration,Status Effect Inducement",Bad,Male
Kindred,Null,Neutral,
Kled,"Berserk Mode,Bloodlust,Endurance,Gadget Usage,Insanity,Longevity,Acrobatics,Agility,Enhanced Hearing,Explosion Manipulation,Grappling/Climbing,Indomitable Will,Pain Suppression,Rage Power,Social Influencing,Vision - Infrared,Force Fields,Immortality,Jaw Strength,Jump,Magic,Magic Resistance,Marksmanship,Master Tactician,Status Effect Inducement,Summoning,Toxin and Disease Resistance,Weapon-based Powers",Bad,Male
